Author,Fields
L. R. Dalesio,cs;cs;cs;hep-ph;hep-ex;cond-mat;math;gr-qc;math;math
W. P. Schleich,quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;cond-mat;quant-ph;gr-qc
Lior Pachter,q-bio;q-bio;math;q-bio;math;math;q-bio;q-bio;q-bio;math
Anthony Rosato,nlin;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Dario Alfe',cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
W J Wykes,physics;astro-ph;physics;astro-ph;astro-ph;astro-ph;cond-mat;cs;nucl-ex;astro-ph
R. Bellotti,nucl-ex;q-fin;physics;cond-mat;nucl-ex;q-fin;astro-ph;hep-ex;nucl-ex;astro-ph
Michael Bender,math;math-ph;math;math;nucl-th;nucl-th;cs;cs;nucl-th;nucl-th
Min-Yen Kan,cs;math;math;math;math;math;math;math;math;math
D. Smith,cs;physics;math;cond-mat;cs;cs;physics;cs;cs;astro-ph
Neil F. Johnson,physics;physics;quant-ph;math;cond-mat;math;cond-mat;quant-ph;cond-mat;physics
Stefano Baroni,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
J. L. Lebowitz,cond-mat;math-ph;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;physics
Robin K. Bullough,nlin;math;math;math;math;math;math;math;cond-mat;math
David Lyback,cs;cs;cs;cs;math;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Songrit Maneewongvatana,cs
Teresa Head-Gordon,cond-mat;hep-ex;hep-ex;hep-ex;nucl-th;astro-ph;astro-ph;math;math;physics
K. Lee,cond-mat;cond-mat;cond-mat;math;hep-ph;hep-ph;astro-ph;cond-mat;hep-ph;cond-mat
Joseph L. McCauley,q-fin;physics;q-fin;cond-mat;cond-mat;physics;cond-mat;cond-mat;cond-mat;q-fin
Martin Bridgeman,math;math;math;math;math;math;math;math;math;math
Sagnik Sinha,cs;cs;cs;cs;physics;cs;math;math;cs;cs
Jingjin Zhang,q-fin;cs;cs;cs;cs;cs;cs;cs;cs;cs
M. Pieck,physics
Martin A. Guest,math;math;math;math;math;math;math;math;math-ph;math
Ernesto Savaglio,q-fin;cond-mat;math-ph;q-bio;cs;math;gr-qc;gr-qc;gr-qc;gr-qc
J. Cohen,math;math;math;math;math;math;math;math;math;math
Florentin Smarandache,math;math;math;math;math;math;math;math;math;math
C. McParland,nucl-ex;nucl-ex;stat;stat;astro-ph;stat;astro-ph;stat;cs;cs
T. J. M. Symons,nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex
Ajit Kumar Mohanty,nucl-th;nucl-th;q-bio;nucl-th;hep-ph;q-bio;gr-qc;gr-qc;math-ph;physics
Gyorgy Szabo,cond-mat;cond-mat;q-bio;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Edith Hemaspaandra,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Mark Hovey,math;math;math;math;math;math;math;math;math;math
Fedor S. Kilin,cs;math;astro-ph;math;math;hep-ex;math;math;math;math
A. Nieto-Reyes,stat;stat;cond-mat;cond-mat;astro-ph;hep-ph;math;astro-ph;astro-ph;astro-ph
David L. Webb,math;math;physics;physics;math;math;physics;physics;math;math
T. Breslin,q-bio;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;math;math;math
Gilles Zumbach,cond-mat;cond-mat;q-fin;q-fin;q-fin;q-fin;cond-mat;cond-mat;astro-ph;astro-ph
Millard H. Alexander,physics;physics;physics;hep-th;physics;physics;astro-ph;astro-ph;cond-mat;math
R. G. Arnold,cond-mat;physics;nucl-ex;nlin;math;cond-mat;cond-mat;nlin;astro-ph;cond-mat
Theodore E. Liolios,nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;physics;nucl-th
Roberto C. Alamino,hep-th;physics;q-bio;physics;cond-mat;cond-mat;cond-mat;cond-mat;stat;cond-mat
H. Gao,hep-th;hep-th;math;hep-th;hep-th;astro-ph;math;quant-ph;hep-th;cond-mat
Xiliang Luo,cs;math;math;math;math;cs;cs;eess;cs;cs
Michael R. Gallis,quant-ph;hep-th;quant-ph;quant-ph;math;math;math;math;math;hep-th
Liu Ji-Xing,math;math;math;astro-ph;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
