Author,Fields
Yu-Yen Ou,quant-ph;math;physics;math;quant-ph;math;math;math;physics;math
F. Igloi,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Yeong-Lieh Lin,physics;math;math;math;math;physics;physics;math;math;math
V. Alfi,cond-mat;physics;q-fin;physics;physics;q-fin;q-fin;physics;q-fin;q-fin
J. G. Alessi,astro-ph;physics;physics;astro-ph;astro-ph;physics;astro-ph;astro-ph;astro-ph;physics
Bertram Kostant,math;math;math;math;math;math;math;math;math;math
W. Kleinig,physics;nucl-th;nucl-th;nucl-th;nucl-th;physics;physics;physics;physics;nucl-th
J. I. Katz,physics;astro-ph;astro-ph;physics;physics;physics;astro-ph;physics;astro-ph;cond-mat
Marcus R. Frean,q-bio;math;math;math-ph;physics;cs;math;hep-th;math;cond-mat
Kerwyn Casey Huang,physics;q-bio;q-bio;physics;astro-ph;astro-ph;math;astro-ph;quant-ph;cs
D. K. Sinclair,hep-lat;hep-lat;math;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat
Dorjsuren Battogtokh,nlin;cond-mat;cond-mat;q-bio;q-bio;q-bio;nlin;nlin
Andrew Lynes,astro-ph;cs;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Donald V. Helmberger,physics;gr-qc;math;math;math;math;physics;q-bio;physics;astro-ph
Matthew Shum,stat;stat;stat;stat;econ;econ;astro-ph;astro-ph;astro-ph;astro-ph
D. Toussaint,hep-lat;hep-lat;hep-lat;cond-mat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;quant-ph
Shmuel Weinberger,math;math;math;math;math;math;math;math;math;math
Holger Kantz,nlin;cond-mat;physics;nlin;cond-mat;cond-mat;q-fin;cond-mat;nlin;cond-mat
Martijn Pistorius,math;math;math;q-fin;q-fin;q-fin;q-fin;q-fin;math;q-fin
Julia Muetherig,cs;hep-th;math;math;math;math;math;math;math;math
Bruce Hendrickson,cs;physics;physics;math;math;math;math;astro-ph;cs;cs
Tony E. Grift,stat;math;math;quant-ph;math;quant-ph;cond-mat;math;math;physics
Arun Ram,math;math;math;math;math;math;math;math;math;math
Felipe M. Pait,math;math;math;math;astro-ph;math;astro-ph;math;astro-ph;astro-ph
Soo-Jong Rey,math;astro-ph;gr-qc;math;math;hep-ex;hep-th;hep-th;hep-ex;math
J. F. Lopez,physics;cond-mat;cond-mat;physics;cond-mat;hep-th;math;astro-ph;hep-ph;cond-mat
D. W. Stemple,cs;math;astro-ph;math;hep-ph;hep-ex;math;math;math;math
Bernhard K. Meister,quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;q-fin
J. Timmer,nlin;nlin;nlin;nlin;nlin;nlin;nlin;nlin;nlin;nlin
Nimrod Moiseyev,quant-ph;cond-mat;quant-ph;physics;quant-ph;physics;nlin;cond-mat;physics;physics
Sylvie Boldo,cs;cs;cs;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;hep-ex
L. Dorfman,math;q-bio;math;math;math;math;math;nlin;math;math
William Browder,math;math;math;math;astro-ph;cond-mat;cond-mat;cs;cs;cs
A. O. Macchiavelli,nucl-ex;nucl-th;nucl-th;nucl-th;nucl-th;nucl-ex;astro-ph;nucl-th;nucl-th;nucl-th
C. Koch,nucl-th;nucl-th;quant-ph;math;math;quant-ph;nucl-th;astro-ph;cond-mat;cond-mat
M. Cristelli,q-fin;q-fin;q-fin;q-fin;q-fin;physics;q-fin;q-fin;cond-mat;q-fin
Liming Ge,math;math;math;math;math;math;quant-ph;cond-mat;physics;math
Christopher N. McLeod,physics;math;math;math;math;math;astro-ph;math;math;cs
S. Zverovich,q-fin;math;math;math;math;math;math;math;math;cs
Alexander Barg,cs;quant-ph;cs;cs;cs;cs;cs;cs;cs;cs
William R. B. Lionheart,physics;math;physics;physics;physics;cs;physics;math;math;physics
Lutz Brusch,cond-mat
David Ferris,cs;quant-ph;cond-mat;cond-mat;quant-ph;quant-ph;physics;quant-ph;cs;cs
A. J. Roberts,math;nlin;math;math;nlin;nlin;math;nlin;math-ph;math-ph
S. Chatterjee,gr-qc;cond-mat;gr-qc;cond-mat;cond-mat;gr-qc;q-bio;math;cond-mat;cond-mat
Ted Herman,cs;cs;cs;cs;cs;cs;cs;cs;cs;astro-ph
Xiaoxiao Zheng,q-fin;q-fin;physics;cs;cs;physics;math-ph;math-ph;cs;math
Edward Witten,hep-ph;hep-ph;hep-th;hep-th;hep-ph;hep-ph;hep-th;hep-th;hep-th;hep-th
Wolfgang Slany,cs;cs;cs;cs;cs;cs;cs;cs;math;cs
Morten Kloster,q-bio;cond-mat;cond-mat;q-bio;q-bio;hep-th;hep-th;hep-th;hep-th;hep-th
Norbert Euler,nlin;nlin;nlin;nlin;nlin;math;nlin;nlin;nlin;math
Roger Ellman,math;physics;physics;math;physics;physics;physics;physics;physics;physics
Giovanni Di Crescenzo,cs;cond-mat;cond-mat;cond-mat;hep-ph;cs;math;math-ph;hep-th;astro-ph
Julian Shillcock,cond-mat;cond-mat;cond-mat;q-bio;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
S. E. Koonin,nucl-th;nucl-th;cond-mat;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th
Alvaro Francisco Huertas-Rosero,math;quant-ph;cs;cs;cs;math;math;math;math;cs
V. O'Shea,math;math;cs;cs;cs;math;math;astro-ph;math;math
G. J. Chaitin,nlin;nlin;nlin;math;math;math;nlin;math;math;nlin
Richard F. Bass,math;math;math;math;math;math;math;math;math;math
Pankaj K. Agarwal,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Zulin Wang,cs;cs;cs;cs;eess;cs;cs;cs;cs;quant-ph
G. W. Stewart,nucl-th;nucl-th;astro-ph;astro-ph;hep-ph;physics;cond-mat;cond-mat;hep-ph;cond-mat
D. Burgos,math;math;cond-mat;q-bio;physics;astro-ph;astro-ph;cond-mat;quant-ph;math
Gennadii Varzugin,nlin;cond-mat;physics;math;physics;cond-mat;cond-mat;cond-mat;gr-qc;cond-mat
Ulf H. Danielsson,hep-th;hep-th;hep-th;astro-ph;hep-th;hep-th;hep-th;gr-qc;hep-th;hep-th
Yinyu Ye,math;cs;math;cs;math;math;math;cs;cs;cs
Julian Dontchev,math;math;math;math;math;math;math;math;math;math
Guo-Hua Mu,math;hep-ph;hep-ph;math;math;math;hep-ph;math;math;hep-th
Xiao Wei Zhao,math;math;stat;math;physics;nlin;physics;cond-mat;math;physics
Peter Laggner,physics;physics;cond-mat;math;math;math;astro-ph;astro-ph;astro-ph;astro-ph
D. Belitz,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Gabriel Istrate,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Luo Ronghua,cs;math;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;cond-mat;cond-mat
Laetitia Andrieu,math;q-fin;math;math;cond-mat;math;math;math;math;math
C. P. Adams,cond-mat;hep-th;hep-th;math;math;math;physics;cond-mat;hep-th;cond-mat
Myoung Won Cho,q-bio;physics;q-bio;cond-mat;q-bio;cond-mat;cond-mat;hep-ph;math;math
J. Mueller-Quade,quant-ph;cs;cs;quant-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Bernd Kleinjohann,cs;math;math;math;astro-ph;cond-mat;cond-mat;cond-mat;math;gr-qc
A. M. Segre,math;gr-qc;math;hep-th;gr-qc;gr-qc;gr-qc;gr-qc;math;cond-mat
Anne Heyworth,math;math;math;math;math;math;math;math;math;math
Ronald F. Boisvert,cs;cs;stat;astro-ph;astro-ph;q-bio;cond-mat;q-bio;quant-ph;math
Philippe Derreumaux,q-bio;q-bio;q-bio;q-bio;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
R. Goeppert,hep-ex;hep-ex;cond-mat;physics;cond-mat;cond-mat;hep-ex;cond-mat;physics;cond-mat
Bernard Maurey,math;math;math;math;math;math;math;math;cond-mat;cond-mat
Richard Kreckel,physics;physics;cs;hep-th;physics;math;math;math;math;math
Foster Provost,cs;cs;stat;math;stat;cs;gr-qc;gr-qc;hep-ex;hep-ex
Christian Paroissin,stat;math;stat;math;math;stat;math;math;astro-ph;astro-ph
Viktor I. Shapovalov,physics;physics;q-fin;physics;physics;math;cond-mat;cs;physics;nucl-th
Siddharth Arora,nlin;cs;stat;stat;cs;cs;cs;cs;cs;math
N. P. Johnson,cond-mat;cond-mat;math;math;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
J. S. Marron,math;stat;astro-ph;stat;stat;stat;math;math;math;stat
Long Wang,math;math;math;math;math;math;math;math;math;math
Rudiger Woscholski,q-bio;astro-ph;math;physics;math;astro-ph;physics;cond-mat;cs;astro-ph
A. N. Gorban,physics;q-bio;q-bio;physics;physics;cond-mat;cond-mat;physics;physics;cs
Krzysztof R. Apt,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Noga Alon,math;math;math;math;math;math;math;math;math;cs
Russell K. Standish,nlin;nlin;cs;physics;cs;cs;nlin;physics;nlin;nlin
Stanislav Volkov,math;math;math;math;math;math;math;math;math;math
Albert Klein Tank,physics;math;math;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Christian Hofmann,nucl-th;nucl-th;nucl-th;nucl-th;stat;nucl-th;math;q-bio;nucl-th;eess
Peter J Bentley,cs;cs;hep-ph;hep-th;math;math;cond-mat;hep-ph;quant-ph;nucl-th
Shin Kwak,cond-mat;cs;cs;cs;q-bio;cond-mat;astro-ph;hep-ph;hep-ph;hep-ph
Robijn Bruinsma,physics;cond-mat;cond-mat;cond-mat;cond-mat;q-bio;cond-mat;cond-mat;cond-mat;cond-mat
T. G. Perring,cond-mat;astro-ph;gr-qc;physics;hep-ph;nucl-th;cond-mat;astro-ph;astro-ph;quant-ph
Ted Jacobson,gr-qc;gr-qc;gr-qc;gr-qc;astro-ph;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc
S. Kuhn,physics;math;math;cond-mat;quant-ph;math;astro-ph;hep-th;quant-ph;quant-ph
the FOPI collaboration,nucl-ex;nucl-ex;nucl-ex;nucl-ex;physics;nucl-ex;nucl-ex;nucl-ex;physics;nucl-ex
Matthew Carruth,stat;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Brenda Smith,math;hep-th;cs;astro-ph;astro-ph;astro-ph;astro-ph;cs;stat;nlin
Elena A. Ostrovskaya,cond-mat;nlin;cond-mat;nlin;cond-mat;nlin;cond-mat;nlin;nlin;cond-mat
Goetz Graefe,cs;cs;cs;cs;cs;astro-ph;cond-mat;math;math;cs
Xianyi Chen,cs;math;math;quant-ph;quant-ph;quant-ph;math;cs;quant-ph;quant-ph
Toygan Kilic,eess;math;math;math;math;math;astro-ph;cond-mat;quant-ph;math
Xiaolu Wang,math;physics;cs;math;math;math;cs;cs;stat;math
G. Laurent,math;math;math;math;math;math;math;hep-th;math;math
Nicholas Chia,stat;q-bio;cond-mat;q-bio;q-bio;q-bio;quant-ph;astro-ph;cs;cs
R. Flood,nlin;astro-ph;cs;cs;astro-ph;cs;cs;astro-ph;physics;astro-ph
P. Zoller,quant-ph;cond-mat;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;cond-mat;quant-ph
Teodor Badica,math;math;math;math;math;math;math;math;math;math
Jean-Michel Jolion,cs
Kenichi Abe,math;physics;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;hep-th;hep-th
Norm Matloff,stat;eess;math;cond-mat;astro-ph;physics;math;math;math;astro-ph
Wilhelm Fushchych,physics;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;math-ph
D. Kechagias,cs;math;math;math;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th
R. Gaehler,quant-ph;cond-mat;nucl-ex;cond-mat;physics;physics;cond-mat;math-ph;math;math
Ilya Dumer,cs;math;cs;cs;cs;cs;cs;cs;cs;cs
J. B. Elliott,nucl-th;nucl-ex;nucl-ex;nucl-th;nucl-th;physics;nucl-th;nucl-th;nucl-th;cond-mat
B. Golosio,physics;physics;physics;physics;physics;physics;cs;astro-ph;cond-mat;hep-ph
A. D'Angelo,math;math;astro-ph;physics;physics;math;math;cs;cs;math
Luke A. Prendergast,math;stat;stat;math;stat;stat;stat;stat;math;math
Charlott Eliasson,cs;math;physics;physics;physics;physics;physics;math;math;physics
B. Moskowitz,hep-ex;nucl-th;physics;astro-ph;math;nucl-th;physics;math;nucl-ex;nucl-ex
Seunghwan Kim,cond-mat;q-fin;physics;q-bio;cond-mat;cond-mat;physics;physics;q-bio;q-fin
Rodrick Wallace,q-bio;q-bio;q-bio;q-bio;q-bio;q-bio;q-bio;q-bio;q-bio;q-bio
Luis M. Rocha,cs;cond-mat;cs;cs;cs;nlin;math;math;math;cs
Xin Zhang,math;math;math;math;math;math;math;astro-ph;hep-th;math
Chun Hung Chiu,q-fin;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;hep-ph;hep-ph
Marko Kosunen,cs;cs;hep-th;hep-th;math;math;math;math;math;math
Kyong Hwan Jin,cs;eess;cs;cs;cs;cs;cs;cs;physics;astro-ph
R. Golub,quant-ph;physics;cond-mat;physics;physics;nucl-ex;nucl-ex;cond-mat;cond-mat;physics
W. Woelfli,astro-ph;physics;physics;physics;physics;physics;physics;physics;physics;cs
L. J. Bunce,math;astro-ph;astro-ph;hep-ex;hep-ex;hep-ex;math;quant-ph;nucl-ex;math
Nils-Peter Skoruppa,math;math;math;math;math;math;hep-th;math;math;hep-th
R. Debbe,nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;physics;physics;nucl-ex
M. R. Zapatero-Osorio,gr-qc;cond-mat;math;quant-ph;gr-qc;gr-qc;gr-qc;gr-qc;hep-th;hep-th
Madhu Sudan,math;cs;cs;cs;cs;cs;math;cs;math;cs
Ying Lu,math;math;math;cond-mat;cond-mat;cond-mat;math;math;stat;hep-ph
Ram Zamir,cs;cs;math;cs;cs;cs;cs;cs;cs;cs
M. Henon,quant-ph;nlin;math;math;nlin;gr-qc;gr-qc;nlin;nlin;math
Olivier Michel,math;cs;math;math;math;gr-qc;gr-qc;math;math;gr-qc
T. W. Hijmans,cond-mat;cond-mat;physics;physics;cond-mat;quant-ph;quant-ph;math;hep-th;hep-th
James L. Anderson,gr-qc;gr-qc;gr-qc;physics;cs;math;math;math;math;math
Loriene Roy,cs;quant-ph;physics;math;cs;quant-ph;quant-ph;quant-ph;cs;math-ph
Rainer Hegger,cond-mat;cond-mat;nlin;cond-mat;cond-mat;nlin;nlin;cond-mat;nlin;math
Nhu D Le,stat;stat;stat;hep-ph;hep-ph;hep-th;hep-th;q-fin;hep-th;nucl-th
Duygu Balcan,physics;cond-mat;q-bio;cond-mat;q-bio;q-bio;q-bio;q-bio;cs;physics
Takehiko Aso,math;math;math;math;math;math;math;math;math;math
Anastasia Papavasiliou,stat;math;math;math;math;math;hep-th;hep-th;hep-th;hep-th
A. M. Rudin,math;cond-mat;cs;cond-mat;cond-mat;math;cs;math;cond-mat;math
Peter L. Christiansen,hep-ph;hep-ph;hep-ph;nucl-ex;nucl-ex;cond-mat;nlin;nlin;cond-mat;math
Karhan Akcoglu,cs;cs;cs;physics;math;physics;math;math;math;math
L. Casano,physics;nucl-ex;nucl-ex;nucl-ex;nucl-ex;hep-ex;nucl-ex;astro-ph;cond-mat;cond-mat
R. J. Porter,astro-ph;math;astro-ph;cond-mat;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;math
John D. S. Jones,math;math;math;physics;astro-ph;math;math;math;hep-th;hep-th
J. A. White,physics;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;physics;physics;astro-ph
Dahang Lin,nucl-th;physics;math;math;math;math;physics;physics;math;math
S. A. M. Mentink,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Laura Fava,cs;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;cs;cs
Tsvi Piran,astro-ph;astro-ph;astro-ph;astro-ph;gr-qc;gr-qc;astro-ph;astro-ph;astro-ph;astro-ph
C. Y. Chung,astro-ph;cond-mat;math;cond-mat;astro-ph;astro-ph;cond-mat;astro-ph;cond-mat;physics
Naoki Sasakura,quant-ph;hep-th;hep-th;hep-th;hep-th;gr-qc;hep-th;hep-th;hep-th;hep-th
Karin Remington,cs;hep-th;hep-th;math;math;math;math;math;math;math
I-Ming Tang,math;math;math;math-ph;math;cond-mat;hep-th;hep-th;math;math
Narin Nuttawut,q-bio;physics;q-bio;math;math;physics;physics
Eunsook Hwang,physics;cond-mat;cond-mat;cs;cs;cond-mat;cond-mat;math;math;quant-ph
Antonio Dalessandro,math;q-fin;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Subhash Suri,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Andreas Knaebchen,cond-mat;cond-mat;cond-mat;cond-mat;nlin;math;math;math;astro-ph;astro-ph
E. Carlen,math-ph;math;math;cond-mat;math-ph;math;math;math;cond-mat;cond-mat
Lisa M. George,cs;math;math;math;astro-ph;nucl-ex;astro-ph;astro-ph;hep-th;math
Mark Steinberger,math;physics;math;math;math;math;math;cs;math;astro-ph
James V Zidek,math;stat;stat;stat;stat;stat;stat;stat;math;stat
Yuri Gurevich,quant-ph;math;math;math;stat;cs;quant-ph;quant-ph;stat;cs
Shivkumar Kalyanaraman,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
A. Schaerf,physics;cs;cs;astro-ph;nucl-ex;hep-ex;hep-ex;nucl-ex;nucl-ex;nucl-ex
Jari Kaipio,math-ph;physics;physics;physics;physics;cs;hep-ph;hep-ph;math;math
C. Hovater,cs;astro-ph;astro-ph;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc
Francoise Masnou-Seeuws,quant-ph;astro-ph;astro-ph;math;math;math;math;cs;math;math
Shalosh B. Ekhad,math;math;math;math;math;math;math;math;math;math
P. R. Lozano,nucl-th;nucl-ex;hep-ex;hep-th;q-bio;hep-ex;hep-ex;nucl-ex;hep-ex;cond-mat
John T. Baldwin,math;math;math;math;math;math;math;math;math;math
Kevan Miller,cs;cs;astro-ph;cs;cond-mat;cond-mat;cs;physics;cs;cond-mat
M. McMahan,cond-mat;cond-mat;cond-mat;nucl-ex;nucl-ex;nucl-ex;nucl-ex;astro-ph;cond-mat;cs
D. Linde,hep-ph;math-ph;hep-ph;hep-ph;math-ph;astro-ph;physics;physics;astro-ph;astro-ph
Mikael Hedin,physics;astro-ph;astro-ph;cond-mat;gr-qc;gr-qc;hep-ph;hep-ph;math;math
Martin White,astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Oded Goldreich,cs;cs;cond-mat;cond-mat;cond-mat;cs;cs;cs;cs;math
George Yong Liu,cs;math;math;physics;astro-ph;astro-ph;astro-ph;math;physics;astro-ph
Takashi Noiri,math;math;math;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Zhengjun Jiang,q-fin;math;cs;quant-ph;cs;cs;cs;cs;cs;cs
Viviane M. de Oliveira,cond-mat;cond-mat;cond-mat;cond-mat;math;math;cond-mat;physics;cond-mat;cond-mat
Adam King,math;math;hep-ph;cs;math;math;math;astro-ph;astro-ph;astro-ph
R. Toral,cond-mat;cond-mat;cond-mat;physics;cond-mat;cond-mat;nlin;cond-mat;cond-mat;cond-mat
P. V. Shevchenko,cond-mat;cond-mat;nucl-th;cond-mat;cond-mat;q-fin;cond-mat;cond-mat;cond-mat;q-fin
H. Jow,q-bio;math;math;math;math;math;math;math;stat;math
Bharat Jayaraman,cs;cs;nucl-th;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Wei-ping Li,cond-mat;cs;math;cond-mat;cond-mat;nucl-th;math;astro-ph;cond-mat;cond-mat
Nikolai G. Makarov,math-ph;math;math-ph;math;math;math;math-ph;math;math;math
James Glimm,math;cond-mat;physics;math;math;math;cond-mat;cond-mat;math;cond-mat
L. Prasad,cs;cs;cs;hep-th;gr-qc;cs;cs;cs;cs;cs
Hoshi Mistry,cs;cond-mat;cond-mat;physics;math;math;math;math;math;math
Roger Zierau,math;math;math;astro-ph;astro-ph;cond-mat;cond-mat;cond-mat;gr-qc;gr-qc
J. -O. Hansen,math;math;cond-mat;math;cond-mat;gr-qc;astro-ph;cond-mat;cond-mat;cond-mat
A. Brotas,gr-qc;physics;physics;physics;physics;physics;physics;cond-mat;cond-mat;astro-ph
Alberto Pimpinelli,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;physics;cond-mat;cond-mat;cond-mat
Likuan Qin,q-fin;q-fin;q-fin;q-fin;q-fin;hep-ph;math;math;math;physics
U. Bottigli,physics;physics;physics;physics;physics;physics;physics;hep-ex;hep-ex;physics
Andries Brandsma,q-fin;cs;astro-ph;astro-ph;astro-ph;math;math-ph;quant-ph;stat;math
C. Zhang,astro-ph;cond-mat;gr-qc;astro-ph;cond-mat;cond-mat;gr-qc;gr-qc;astro-ph;hep-ph
Seong-Cheol Kim,math;math;math;math;physics;math;physics;math;math;math
M. Webel,physics;hep-ex;math;math;astro-ph;astro-ph;astro-ph;cond-mat;cond-mat;cs
Gordon W. Paynter,cs;cs;math;math;math;hep-th;hep-th;hep-th;math;hep-th
Jean-Marc Valin,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
B. Durand,nlin;q-bio;cs;nucl-th;nucl-ex;nucl-th;astro-ph;astro-ph;nucl-ex;astro-ph
Johan GB Beumee,q-fin;math-ph;astro-ph;cs;cs;cs;cs;cs;cs;cs
M. Krbalek,nlin;nlin;nlin;cond-mat;physics;math-ph;nlin;cond-mat;math;nlin
L. Widrow,hep-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Henry D. I. Abarbanel,nlin;nlin;nlin;nlin;physics;nlin;physics;q-bio;q-bio;physics
Bruce J. West,math;math;math;math;math;math;nlin;cond-mat;cond-mat;cond-mat
Ben Bielefeld,math;math;math;astro-ph;astro-ph;astro-ph;cs;hep-ph;hep-ph;hep-ph
Sanjay Gupta,cond-mat;hep-th;hep-th;cond-mat;cond-mat;cond-mat;cond-mat;cs;physics;physics
Judy Goldsmith,cs;cs;cs;cs;cs;cs;cs;gr-qc;gr-qc;gr-qc
G. A. Monerat,gr-qc;gr-qc;gr-qc;cs;astro-ph;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc
M. L. Perl,hep-ph;physics;math;hep-ex;hep-ex;hep-ph;cs;hep-ex;astro-ph;math
Massimo Ladisa,cond-mat;hep-ph;q-bio;cond-mat;hep-ph;hep-ph;hep-ph;cond-mat;astro-ph;astro-ph
G. Raso,hep-ex;hep-ex;physics;cond-mat;physics;physics;physics;physics;physics;physics
E. D. Sontag,math;q-bio;math;q-bio;math;math;math;math;math;math
L. C. D. Campos,hep-lat;cond-mat;hep-th;cs;cs;hep-ph;cs;nucl-ex;hep-th;physics
Avital Friedland,math;cs;cs;math;hep-ph;math;math;physics;hep-ph;cond-mat
Alexandra Rillaers,q-fin;math;math;math;math;math;math;math;math;astro-ph
Carson Chow,cond-mat;nlin;q-bio;nlin;cond-mat;q-bio;q-bio;q-bio;math;q-bio
Sebastien Camalet,physics;cond-mat;physics;physics;cond-mat;physics;cond-mat;cond-mat;astro-ph;astro-ph
Joel Predd,cs;stat;cs;cs;cs;cs;cs;cs;cs;gr-qc
Damiano Brigo,q-fin;math;q-fin;q-fin;math;q-fin;q-fin;math;q-fin;q-fin
Jane Jackson,physics;cs;hep-ex;math;math;math;math;math;quant-ph;astro-ph
Steve Hitchcock,cs;cs;astro-ph;astro-ph;astro-ph;gr-qc;hep-ex;hep-ex;hep-ex;hep-ph
Y. Cassuto,physics;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;physics;cs;cs
Boris Zilber,math;math;math;math-ph;math;math;math;math;math-ph;math
M. Koppel,cs;cs;cs;gr-qc;stat;cond-mat;stat;cs;math;cs
T. v Eyken,physics;astro-ph;math;math;astro-ph;hep-th;astro-ph;cond-mat;gr-qc;astro-ph
M. S. Santhanam,quant-ph;nlin;q-fin;cond-mat;cond-mat;physics;q-fin;nlin;cs;nlin
S. D'Auria,hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th
Gregory W. Wornell,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Nicolas Brisebarre,math;cs;astro-ph;astro-ph;nlin;nlin;cond-mat;cond-mat;cond-mat;cond-mat
Stuart M. Brown,math;q-bio;astro-ph;astro-ph;cs;astro-ph;math;gr-qc;astro-ph;math-ph
B. Plache,hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;astro-ph;cond-mat;hep-ph
A. G. Cyrino,cs;math;math;math;math;math;math;math;math;math
Ole Bang,nlin;physics;physics;nlin;physics;nlin;nlin;nlin;nlin;nlin
Jose I. Latorre,quant-ph;quant-ph;quant-ph;hep-ph;hep-th;hep-ph;hep-ph;hep-th;hep-th;hep-ph
J. A. Cizewski,nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex
V. M. Akulin,quant-ph;quant-ph;physics;quant-ph;quant-ph;quant-ph;q-bio;cond-mat;quant-ph;quant-ph
C. W. Johnson,nucl-th;nucl-th;cs;cond-mat;nucl-th;physics;cond-mat;quant-ph;quant-ph;physics
H. Neuberger,hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-th;hep-th;hep-lat;hep-lat
K. Burnecki,math;astro-ph;physics;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;hep-ex
Naoufel El-Bachir,q-fin;math;math-ph;math;math;math;math;math-ph
Carson C. Chow,cond-mat;nlin;cond-mat;nlin;q-bio;q-bio;q-bio;math;nlin;q-bio
Erik T. Mueller,cs;cs;cs;cs;cs;math;math;hep-ex;math;math
A. Lung,physics;physics;physics;physics;physics;physics;physics;stat;physics;physics
O. A. Ansari,eess;astro-ph;math;cond-mat;cond-mat;astro-ph;math;cond-mat;hep-th;math
Matthew Pratola,cs;stat;stat;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Yoshinori Takeuchi,hep-th;hep-th;cs;hep-ph;hep-th;math;math;math;math;math
Christian Olivier,cs;math;math;cond-mat;physics;cs;cs;physics;physics;physics
Sultan Catto,hep-ph;hep-th;hep-th;hep-ph;hep-th;hep-th;hep-th;hep-th;hep-th;math
L. Windholz,quant-ph;quant-ph;quant-ph;physics;astro-ph;cond-mat;cond-mat;gr-qc;hep-lat;hep-th
M. Boiti,nlin;nlin;nlin;nlin;nlin;nlin;nlin;nlin;nlin;nlin
V. Melloni,cs;physics;physics;physics;physics;physics;physics;physics;physics;physics
Claude Laroche,physics;nlin;physics;physics;cond-mat;cond-mat;physics;physics;physics;physics
Peyman Khorsand,q-fin;math;math;math;math;math;math;math;math;math
Manjesh K. Hanawal,econ;cs;math;cs;cs;cs;cs;cs;cs;cs
Jie Liang,q-bio;q-fin;q-bio;q-bio;cs;cs;cs;nlin;nucl-th;physics
